,id,album,title,artist,album_artist,tracknumber,albumsort,titlesort,isrc,date,year,musicbrainz_artistid,musicbrainz_albumid,musicbrainz_albumartistid,musicbrainz_albumstatus,total_tracks,language,musicbrainz_albumtype,compilation,releasecountry,barcode,url,path,file,genre
0,d2f26762-5bd4-4e4e-8fd4-f3081ca8793b,The Call of the Dark Forest,Intro: I'm the Cosmos...,['Thy Light'],Thy Light,1,0,1,,2005,2005,481f362b-c733-4fc5-8109-aacc29bd30e6,7323428a-096c-466f-b099-0f25f26ee025,481f362b-c733-4fc5-8109-aacc29bd30e6,Bootleg,6,eng,Album,,,,https://musify.club/track/dl/9333217/thy-light-intro-im-the-cosmos.mp3,dsbm/Thy Light/The Call of the Dark Forest,dsbm/Thy Light/The Call of the Dark Forest/Intro: I'm the Cosmos....mp3,dsbm
1,16c35cab-2606-4557-adfd-4069f81fcca8,The Call of the Dark Forest,Master of Light,['Thy Light'],Thy Light,2,0,2,,2005,2005,481f362b-c733-4fc5-8109-aacc29bd30e6,7323428a-096c-466f-b099-0f25f26ee025,481f362b-c733-4fc5-8109-aacc29bd30e6,Bootleg,6,eng,Album,,,,https://musify.club/track/dl/9333218/thy-light-master-of-light.mp3,dsbm/Thy Light/The Call of the Dark Forest,dsbm/Thy Light/The Call of the Dark Forest/Master of Light.mp3,dsbm
2,6aa5aa6a-1e82-4281-98c5-b9695dc5cf8e,The Call of the Dark Forest,The Glory Is Near,['Thy Light'],Thy Light,4,0,4,,2005,2005,481f362b-c733-4fc5-8109-aacc29bd30e6,7323428a-096c-466f-b099-0f25f26ee025,481f362b-c733-4fc5-8109-aacc29bd30e6,Bootleg,6,eng,Album,,,,https://musify.club/track/dl/9333220/thy-light-the-glory-is-near.mp3,dsbm/Thy Light/The Call of the Dark Forest,dsbm/Thy Light/The Call of the Dark Forest/The Glory Is Near.mp3,dsbm
3,66116e3b-14f3-4609-a4f2-b0601922368c,The Call of the Dark Forest,The Call of the Dark Forest,['Thy Light'],Thy Light,6,0,6,,2005,2005,481f362b-c733-4fc5-8109-aacc29bd30e6,7323428a-096c-466f-b099-0f25f26ee025,481f362b-c733-4fc5-8109-aacc29bd30e6,Bootleg,6,eng,Album,,,,https://musify.club/track/dl/9333222/thy-light-the-call-of-the-dark-forest.mp3,dsbm/Thy Light/The Call of the Dark Forest,dsbm/Thy Light/The Call of the Dark Forest/The Call of the Dark Forest.mp3,dsbm
4,eb82bfa5-25ea-4ab6-b20c-bd0e65f0da8c,Suici.De.pression,Suici.De.pression (Introduction to My End),['Thy Light'],Thy Light,1,1,1,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,,https://musify.club/track/dl/707072/thy-light-suici-de-pression-introduction-to-my-end.mp3,dsbm/Thy Light/Suici.De.pression,dsbm/Thy Light/Suici.De.pression/Suici.De.pression (Introduction to My End).mp3,dsbm
5,a46b4cbc-5b0c-49f0-bf9a-e58874592b3c,Suici.De.pression,In My Last Mourning...,['Thy Light'],Thy Light,2,1,2,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,,https://musify.club/track/dl/707073/thy-light-in-my-last-mourning.mp3,dsbm/Thy Light/Suici.De.pression,dsbm/Thy Light/Suici.De.pression/In My Last Mourning....mp3,dsbm
6,ae0b021d-f9c0-4dcd-b8a8-68e94ddc2734,Suici.De.pression,A Crawling Worm in a World of Lies,['Thy Light'],Thy Light,3,1,3,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,,https://musify.club/track/dl/707074/thy-light-a-crawling-worm-in-a-world-of-lies.mp3,dsbm/Thy Light/Suici.De.pression,dsbm/Thy Light/Suici.De.pression/A Crawling Worm in a World of Lies.mp3,dsbm
7,131288b7-b1fe-41c2-8159-2ad946db7ab1,Suici.De.pression,I Am the Bitter Taste of Gall,['Thy Light'],Thy Light,4,1,4,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,,https://musify.club/track/dl/707075/thy-light-i-am-the-bitter-taste-of-gall.mp3,dsbm/Thy Light/Suici.De.pression,dsbm/Thy Light/Suici.De.pression/I Am the Bitter Taste of Gall.mp3,dsbm
8,fda257e0-b508-460e-a974-0629672bd832,Suici.De.pression,...and I Finally Reach My End,['Thy Light'],Thy Light,5,1,5,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,,https://musify.club/track/dl/707076/thy-light-and-i-finally-reach-my-end.mp3,dsbm/Thy Light/Suici.De.pression,dsbm/Thy Light/Suici.De.pression/...and I Finally Reach My End.mp3,dsbm
9,eb82bfa5-25ea-4ab6-b20c-bd0e65f0da8c,Suici.De.pression,Suici.De.pression (Introduction to My End),['Thy Light'],Thy Light,1,2,1,,2007,2007,481f362b-c733-4fc5-8109-aacc29bd30e6,18bdab40-95ae-4735-a847-034874f35cde,481f362b-c733-4fc5-8109-aacc29bd30e6,Official,5,eng,Album,,DE,,https://musify.club/track/dl/707072/thy-light-suici-de-pression-introduction-to-my-end.mp3,dsbm/Thy Light/Suici.De.pression,dsbm/Thy Light/Suici.De.pression/Suici.De.pression (Introduction to My End).mp3,dsbm
